terms
,term,result
14,Opioid Withdrawal,"Physical and mental symptoms that occur after stopping or reducing intake of opioids, a substance found in certain prescription pain medications and illegal drugs like heroin. Opioid withdrawal develops after the body has become accustomed to a certain level of opioids. Opioids are found in certain prescription pain medications or drugs like heroin. Symptoms of opioid withdrawal include anxiety, nausea, vomiting, or abdominal pain. While symptoms can be severe, they aren't life-threatening. Treatment includes supportive care as well as medications to address symptoms and prevent complications. "
15,Schizoid Personality Disorder,"A condition in which people avoid social activities and interacting with others. Schizoid personality disorder typically begins in early adulthood. People with this condition don't desire or enjoy close relationships, even with family, and are often seen as loners. They may be emotionally cold and detached. Therapy and medications, such as antidepressants or mood stabilizers, can help. "
16,Generalized Anxiety Disorder,"Severe, ongoing anxiety that interferes with daily activities. Generalized anxiety disorder can occur at any age. The condition has symptoms similar to panic disorder, obsessive-compulsive disorder, and other types of anxiety. These symptoms include constant worry, restlessness, and trouble with concentration. Treatment may include counseling and medications, such as antidepressants. "
17,Pica,"Craving and chewing substances that have no nutritional value, such as ice, clay, soil, or paper. "
18,Tourette’s Disorder,"A nervous system disorder involving repetitive movements or unwanted sounds. Tourette syndrome starts in childhood. It involves uncontrollable repetitive movements or unwanted sounds (tics), such as repeatedly blinking the eyes, shrugging shoulders, or blurting out offensive words. Treatment may include medication or psychological therapies. "
19,Alcohol Intoxication,"A disturbance in behavior or mental function during or after alcohol consumption. This condition can be prevented by abstaining from alcohol during pregnancy. Distinctive facial features, learning disabilities, bone and joint deformities, heart defects, and hyperactivity are some symptoms. Alcohol intoxication is managed with rest, hydration, and stopping alcohol use. Severe cases require hospital admission, intravenous fluids, observation, and supportive care. "
20,Agoraphobia,"Fear of places and situations that might cause panic, helplessness, or embarrassment. Agoraphobia is an anxiety disorder that often develops after one or more panic attacks. Symptoms include fear and avoidance of places and situations that might cause feelings of panic, entrapment, helplessness, or embarrassment. Treatments include talk therapy and medication. "
21,Childhood-Onset Fluency Disorder,A speech disorder involving frequent problems with the normal fluency and flow of speech. 
22,Sleep Terrors,"Episodes of screaming, intense fear, and flailing while still asleep, often paired with sleepwalking. "
23,Alcohol Withdrawal,"Symptoms that occur when someone stops using alcohol after a period of heavy drinking. Symptoms of alcohol withdrawal can vary widely in severity. In severe cases, the condition can be life-threatening. Symptoms may occur from two hours to four days after stopping alcohol. They may include headaches, nausea, tremors, anxiety, hallucinations, and seizures. In many cases, alcohol withdrawal requires medical treatment and hospital admissions. Medications may be used to treat physical symptoms while counseling and support groups help with controlling drinking behavior. "
24,Delirium,Serious disturbance in mental abilities that results in confused thinking and reduced awareness of surroundings. 
25,Oppositional Defiant Disorder,"A disorder in a child marked by defiant and disobedient behavior to authority figures. The cause of oppositional defiant disorder is unknown but likely involves a combination of genetic and environmental factors. Symptoms generally begin before a child is eight years old. They include irritable mood, argumentative and defiant behavior, aggression, and vindictiveness that last more than six months and cause significant problems at home or school. Treatment involves individual and family therapy. "
26,Encopresis,"A condition in which a child resists having bowel movements, causing impacted stool to collect in the colon and rectum and lead to leakage. "
27,Catatonia,"A behavioral syndrome marked by an inability to move normally. It can be associated with schizophrenia and other mental illnesses. Catatonia may involve symptoms such as staying still, fast or strange movements, lack of speech, and other unusual behavior. Treatment includes tranquilizer medications like lorazepam (ativan) and diazepam (valium), or electric shock (electroconvulsive) therapy. "
28,TBI,"Brain dysfunction caused by an outside force, usually a violent blow to the head. Traumatic brain injury often occurs as a result of a severe sports injury or car accident. Immediate or delayed symptoms may include confusion, blurry vision, and concentration difficulty. Infants may cry persistently or be irritable. Treatment may involve rest, medication, and surgery. "
29,Antisocial Personality Disorder,"A mental health disorder characterized by disregard for other people. Those with antisocial personality disorder (ASPD) may begin to show symptoms in childhood, but the condition can't be diagnosed until adolescence or adulthood. Those with antisocial personality disorder tend to lie, break laws, act impulsively, and lack regard for their own safety or the safety of others. Symptoms may lessen with age. Treatment may include talk therapy and support for affected family members. "
30,Cyclothymic Disorder,"A mood disorder that causes emotional highs and lows. The mood shifts in cyclothymia aren't as extreme as those in people with bipolar disorders. People with cyclothymia can typically function in daily life, though it may be difficult. Symptoms include intermittent psychological highs and lows that may become more pronounced over time. Treatment usually involves counseling and therapy. In rare cases, medications may be used. "
31,Insomnia Disorder,"Persistent problems falling and staying asleep. Most cases of insomnia are related to poor sleep habits, depression, anxiety, lack of exercise, chronic illness, or certain medications. Symptoms may include difficulty falling or staying asleep and not feeling well-rested. Treatment for insomnia consists of improving sleep habits, behavior therapy, and identifying and treating underlying causes. Sleeping pills may also be used, but should be monitored for side effects. "
32,Kleptomania,"An impulse control disorder that results in an irresistible urge to steal. The cause of kleptomania remains unknown but risk factors include a family history of kleptomania or other impulse control disorders. It occurs more often in women. Kleptomania is a serious disorder that causes an irresistible urge to steal items that aren't needed and are usually of little value. Consequences can include job loss, financial penalties, and trouble with the law. No cure exists. But treatment with talk therapy and medication, such as antidepressants, may help end the cycle of compulsive stealing. "
33,Borderline Personality Disorder,"A mental disorder characterized by unstable moods, behavior, and relationships. The cause of borderline personality disorder isn't well understood. Diagnosis is made based on symptoms. Symptoms include emotional instability, feelings of worthlessness, insecurity, impulsivity, and impaired social relationships. Treatments include talk therapy or, in some cases, medications. Hospitalization helps if symptoms are severe. "
34,Traumatic Brain Injury,"Brain dysfunction caused by an outside force, usually a violent blow to the head. Traumatic brain injury often occurs as a result of a severe sports injury or car accident. Immediate or delayed symptoms may include confusion, blurry vision, and concentration difficulty. Infants may cry persistently or be irritable. Treatment may involve rest, medication, and surgery. "
35,Panic Attack,"Sudden episode of intense fear or anxiety and physical symptoms, based on a perceived threat rather than imminent danger. Pressure or tension that results from a demanding situation. Stress can be physical, emotional, psychological, or a combination of these. A mental health disorder characterised by feelings of worry, anxiety or fear that are strong enough to interfere with one's daily activities. A disorder in which a person has difficulty recovering after experiencing or witnessing a terrifying event. Severe, ongoing anxiety that interferes with daily activities. Fear of places and situations that might cause panic, helplessness, or embarrassment. "
36,Premenstrual Dysphoric Disorder,"A severe, sometimes disabling extension of premenstrual syndrome. Premenstrual dysphoric disorder (PMDD) is a severe form of premenstrual syndrome that includes physical and behavioral symptoms that usually resolve with the onset of menstruation. PMDD causes extreme mood shifts that can disrupt work and damage relationships. Symptoms include extreme sadness, hopelessness, irritability, or anger, plus common premenstrual syndrome symptoms such as breast tenderness and bloating. Drugs and lifestyle changes may help. "
37,Illness Anxiety Disorder,Obsession with the idea of having a serious but undiagnosed medical condition. Hypochondriasis usually develops during adulthood. Symptoms include a long-term and intense fear of having a serious condition and worry that minor symptoms indicate something serious. A person may frequently visit or switch doctors. Counseling and medications may help. 
38,Depression,"A mental health disorder characterized by persistently depressed mood or loss of interest in activities, causing significant impairment in daily life. Possible causes include a combination of biological, psychological, and social sources of distress. Increasingly, research suggests these factors may cause changes in brain function, including altered activity of certain neural circuits in the brain. The persistent feeling of sadness or loss of interest that characterizes major depression can lead to a range of behavioral and physical symptoms. These may include changes in sleep, appetite, energy level, concentration, daily behavior, or self-esteem. Depression can also be associated with thoughts of suicide. The mainstay of treatment is usually medication, talk therapy, or a combination of the two. Increasingly, research suggests these treatments may normalize brain changes associated with depression. "
39,Schizophrenia,"A disorder that affects a person's ability to think, feel, and behave clearly. The exact cause of schizophrenia isn't known, but a combination of genetics, environment, and altered brain chemistry and structure may play a role. Schizophrenia is characterized by thoughts or experiences that seem out of touch with reality, disorganized speech or behavior, and decreased participation in daily activities. Difficulty with concentration and memory may also be present. Treatment is usually lifelong and often involves a combination of medications, psychotherapy, and coordinated specialty care services. "
40,Schizoaffective Disorder,"A mental health condition including schizophrenia and mood disorder symptoms. Schizoaffective disorder is a combination of symptoms of schizophrenia and mood disorder, such as depression or bipolar disorder. Symptoms may occur at the same time or at different times. Cycles of severe symptoms are often followed by periods of improvement. Symptoms may include delusions, hallucinations, depressed episodes, and manic periods of high energy. People with this disorder generally do best with a combination of medications and counseling. "
41,Social Anxiety Disorder,"A chronic mental health condition in which social interactions cause irrational anxiety. For people with social anxiety disorder, everyday social interactions cause irrational anxiety, fear, self-consciousness, and embarrassment. Symptoms may include excess fear of situations in which one may be judged, worry about embarrassment or humiliation, or concern about offending someone. Talk therapy and antidepressants can help increase confidence and improve ability to interact with others. "
42,Hair-Pulling Disorder,"A disorder that involves recurrent, irresistible urges to pull out body hair. The urges involve pulling out hair from the scalp, eyebrows, or other areas of the body. Symptoms include compulsive hair pulling and hair loss, such as bald patches on the scalp. Social and work functioning may be affected. Treatment options include counseling and medications, such as antidepressants. "
43,Anorexia Nervosa,"An eating disorder causing people to obsess about weight and what they eat. Anorexia is characterized by a distorted body image, with an unwarranted fear of being overweight. Symptoms include trying to maintain a below-normal weight through starvation or too much exercise. Medical treatment may be needed to restore normal weight. Talk therapy can help with self-esteem and behavior changes. "
44,Separation Anxiety Disorder,A disorder in which a child becomes excessively anxious when separated from parents. Children are especially prone to separation anxiety during times of stress. Separation anxiety differs from normal clinginess. Children with the disorder can't think about anything but the present fear of separation. They may have nightmares or regular physical complaints. They may be reluctant to go to school or other places. Treatment includes talk therapy and possibly anti-anxiety medication. 
45,Erectile Disorder,"Occurs when a man can't get or keep an erection firm enough for sexual intercourse. Erectile dysfunction can be a sign of a physical or psychological condition. It can cause stress, relationship strain, and low self-confidence. The main symptom is a man's inability to get or keep an erection firm enough for sexual intercourse. Patients suffering from erectile dysfunction should first be evaluated for any underlying physical and psychological conditions. If treatment of the underlying conditions doesn't help, medications and assistive devices, such as pumps, can be prescribed. "
46,Attention-Deficit/Hyperactivity Disorder,"A chronic condition including attention difficulty, hyperactivity, and impulsiveness. ADHD often begins in childhood and can persist into adulthood. It may contribute to low self-esteem, troubled relationships, and difficulty at school or work. Symptoms include limited attention and hyperactivity. Treatments include medication and talk therapy. "
47,Dissociative Identity Disorder,"A disorder characterized by the presence of two or more distinct personality states. Dissociative identity disorder, previously called multiple personality disorder, is usually a reaction to trauma as a way to help a person avoid bad memories. Dissociative identity disorder is characterized by the presence of two or more distinct personality identities. Each may have a unique name, personal history, and characteristics. Treatment is talk therapy. "
48,Narcissistic Personality Disorder,"A disorder in which a person has an inflated sense of self-importance. Narcissistic personality disorder is found more commonly in men. The cause is unknown but likely involves a combination of genetic and environmental factors. Symptoms include an excessive need for admiration, disregard for others' feelings, an inability to handle any criticism, and a sense of entitlement. The disorder needs to be diagnosed by a professional. Treatment involves talk therapy. "
49,Opioid Use Disorder,"Physical and psychological reliance on opioids, a substance found in certain prescription pain medications and illegal drugs like heroin. Opioids are prescribed to treat pain. With prolonged use, pain-relieving effects may lessen and pain can become worse. In addition, the body can develop dependence. Opioid dependence causes withdrawal symptoms, which makes it difficult to stop taking them. Addiction occurs when dependence interferes with daily life. Taking more than the prescribed amount or using illegal opioids like heroin may result in death. Symptoms of addiction include uncontrollable cravings and inability to control opioid use even though it's having negative effects on personal relationships or finances. Treatment varies but may include discontinuing the drug. Medications such as methadone can help alleviate the symptoms of withdrawal and cravings. Pairing medication with inpatient or support programs generally has the most success. "
50,Obsessive-Compulsive Disorder,"Excessive thoughts (obsessions) that lead to repetitive behaviors (compulsions). Obsessive-compulsive disorder is characterized by unreasonable thoughts and fears (obsessions) that lead to compulsive behaviors. OCD often centers on themes such as a fear of germs or the need to arrange objects in a specific manner. Symptoms usually begin gradually and vary throughout life. Treatment includes talk therapy, medications, or both. "
51,Rumination Disorder,"A condition where a person spits up food from the stomach, rechews it, and either swallows it again or spits it out. It tends to occur within 30 minutes of every meal. The cause is unknown."
52,Bipolar II Disorder,"A disorder associated with episodes of mood swings ranging from depressive lows to manic highs. The exact cause of bipolar disorder isn’t known, but a combination of genetics, environment, and altered brain structure and chemistry may play a role. Manic episodes may include symptoms such as high energy, reduced need for sleep, and loss of touch with reality. Depressive episodes may include symptoms such as low energy, low motivation, and loss of interest in daily activities. Mood episodes last days to months at a time and may also be associated with suicidal thoughts. Treatment is usually lifelong and often involves a combination of medications and psychotherapy. "
53,Posttraumatic Stress Disorder,"A disorder in which a person has difficulty recovering after experiencing or witnessing a terrifying event. The condition may last months or years, with triggers that can bring back memories of the trauma accompanied by intense emotional and physical reactions. Symptoms may include nightmares or unwanted memories of the trauma, avoidance of situations that bring back memories of the trauma, heightened reactions, anxiety, or depressed mood. Treatment includes different types of trauma-focused psychotherapy as well as medications to manage symptoms. "
54,Enuresis,"Nighttime loss of bladder control, or bed-wetting, usually in children. "
55,Dysthymia,"A mild but long-term form of depression. Dysthymia is defined as a low mood occurring for at least two years, along with at least two other symptoms of depression. Examples of symptoms include lost interest in normal activities, hopelessness, low self-esteem, low appetite, low energy, sleep changes, and poor concentration. Treatments include medications and talk therapy. "
56,Restless Legs Syndrome,"A condition characterized by a nearly irresistible urge to move the legs, typically in the evenings. Restless legs syndrome typically occurs while sitting or lying down. It generally worsens with age and can disrupt sleep. The main symptom is a nearly irresistible urge to move the legs. Getting up and moving around helps the unpleasant feeling temporarily go away. Self-care steps, lifestyle changes, or medications may help. "
57,Sleepwalking,"The act of getting up and walking around while asleep. Sleepwalking is most common in children, who usually outgrow it by their teens. Sleepwalking usually occurs one to two hours after falling asleep at night. Rarely, it may involve unusual behaviors, such as climbing out a window or urinating in a closet. Often, sleepwalking is a random, harmless event. Treatment may be needed if it occurs often or causes injury. Medications and hypnosis may help. "
58,Obstructive Sleep Apnea,"Intermittent airflow blockage during sleep. Obstructive sleep apnea is seen in all age groups, but the frequency increases with age and obesity. Symptoms include snoring and daytime sleepiness. Weight loss, sleeping on one's side, and decreasing alcohol consumption can help. The delivery of pressure via a face or nasal mask (CPAP) is often prescribed. Other common treatments include an oral device and surgery. "
59,Narcolepsy,"A chronic sleep disorder that causes overwhelming daytime drowsiness. The cause of narcolepsy isn't well understood but may involve genetic factors and abnormal signaling in the brain. Narcolepsy causes sudden attacks of sleep. Sudden loss of muscle tone and hallucinations might occur. Stimulants, antidepressants, and other medications can help. "
60,Hoarding Disorder,"A persistent difficulty discarding or parting with possessions because of a perceived need to save them. Excessive thoughts (obsessions) that lead to repetitive behaviours (compulsions). A group of thinking and social symptoms that interferes with daily functioning. A mental health disorder characterised by persistently depressed mood or loss of interest in activities, causing significant impairment in daily life. A genetic disorder that causes obesity, intellectual disability, and shortness in height. "
61,Major Depressive Disorder,"A mental health disorder characterized by persistently depressed mood or loss of interest in activities, causing significant impairment in daily life. Possible causes include a combination of biological, psychological, and social sources of distress. Increasingly, research suggests these factors may cause changes in brain function, including altered activity of certain neural circuits in the brain. The persistent feeling of sadness or loss of interest that characterizes major depression can lead to a range of behavioral and physical symptoms. These may include changes in sleep, appetite, energy level, concentration, daily behavior, or self-esteem. Depression can also be associated with thoughts of suicide. The mainstay of treatment is usually medication, talk therapy, or a combination of the two. Increasingly, research suggests these treatments may normalize brain changes associated with depression. "
