,term,result
17,Hoarding Disorder,"Treatments: Cognitive behavioral therapy Compulsive hoarding A persistent difficulty discarding or parting with possessions because of a perceived need to save them. For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more See a doctor immediately if your Health or safety is in danger Make an appointment to see a doctor if you Have materials in your home that pose a fire risk Often trip or fall over materials in your home Feel anxious about your possessions HEALTH CONDITIONS RELATED TO THIS SEARCH Obsessive compulsive disorder Excessive thoughts (obsessions) that lead to repetitive behaviours (compulsions). Symptoms may include Compulsive hoarding Compulsive behavior Rumination Dementia A group of thinking and social symptoms that interferes with daily functioning. Symptoms may include Compulsive hoarding Memory impairment Mental decline Clinical depression A mental health disorder characterised by persistently depressed mood or loss of interest in activities, causing significant impairment in daily life. Symptoms may include Restless sleep Early awakening Rumination Prader–Willi syndrome A genetic disorder that causes obesity, intellectual disability, and shortness in height. Symptoms may include Infertility Self-harm Compulsive behavior "
18,Encopresis,"Encopresis A condition in which a child resists having bowel movements, causing impacted stool to collect in the colon and rectum and lead to leakage. COMMON CAUSES Encopresis can have causes that aren't due to underlying disease. Examples include sneezing, constipation, incontinence due to lack of potty training, or incontinence due to misinterpretation of body signals. For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more Self-treatment  Seeking medical care   HEALTH CONDITIONS RELATED TO THIS SEARCH Stress Pressure or tension that results from a demanding situation. Stress can be physical, emotional, psychological, or a combination of these. Constipation When a person passes less than three bowel movements a week, or has difficult bowel movements. Dehydration A dangerous loss of body fluid caused by illness, sweating, or inadequate intake. Fecal impaction Hardened stool that's stuck in the rectum or lower colon due to chronic constipation. Symptoms may include Constipation Fecal incontinence Bowel obstruction "
19,Major Neurocognitive Disorder,
20,Posttraumatic Stress Disorder,"Post traumatic stress disorder Also called: PTSD Source A disorder in which a person has difficulty recovering after experiencing or witnessing a terrifying event. The condition may last months or years, with triggers that can bring back memories of the trauma accompanied by intense emotional and physical reactions. Symptoms may include nightmares or unwanted memories of the trauma, avoidance of situations that bring back memories of the trauma, heightened reactions, anxiety, or depressed mood. Treatment includes different types of trauma-focused psychotherapy as well as medications to manage symptoms. Very common More than 3 million US cases per year Treatable by a medical professional Requires a medical diagnosis Lab tests or imaging not required For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more RELATED CONDITIONS Bipolar disorder A disorder associated with episodes of mood swings ranging from depressive lows to manic highs. Clinical depression A mental health disorder characterized by persistently depressed mood or loss of interest in activities, causing significant impairment in daily life. Obsessive compulsive disorder Excessive thoughts (obsessions) that lead to repetitive behaviors (compulsions). Schizophrenia A disorder that affects a person's ability to think, feel, and behave clearly. Anxiety disorder A mental health disorder characterized by feelings of worry, anxiety, or fear that are strong enough to interfere with one's daily activities Schizoaffective disorder A mental health condition including schizophrenia and mood disorder symptoms. Agoraphobia Fear of places and situations that might cause panic, helplessness, or embarrassment. Attention-deficit/hyperactivity disorder A chronic condition including attention difficulty, hyperactivity, and impulsiveness. Generalized anxiety disorder Severe, ongoing anxiety that interferes with daily activities. Alcohol use disorder A chronic disease characterized by uncontrolled drinking and preoccupation with alcohol. Borderline personality disorder A mental disorder characterized by unstable moods, behavior, and relationships. Bipolar II disorder A type of bipolar disorder characterized by depressive and hypomanic episodes. Persistent depressive disorder A mild but long-term form of depression. Oppositional defiant disorder A disorder in a child marked by defiant and disobedient behavior to authority figures. "
21,Cyclothymic Disorder,"Cyclothymia A mood disorder that causes emotional highs and lows. The mood shifts in cyclothymia aren't as extreme as those in people with bipolar disorders. People with cyclothymia can typically function in daily life, though it may be difficult. Symptoms include intermittent psychological highs and lows that may become more pronounced over time. Treatment usually involves counseling and therapy. In rare cases, medications may be used. Rare Fewer than 200,000 US cases per year Treatable by a medical professional Requires a medical diagnosis Lab tests or imaging not required Chronic: can last for years or be lifelong For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
22,Enuresis,"Bedwetting Nighttime loss of bladder control, or bed-wetting, usually in children. COMMON CAUSES Bedwetting can have causes that aren't due to underlying disease. Bedwetting can occur up to age 5 as part of normal childhood development. In adults, it can be caused by alcohol intoxication. For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more Self-treatment  Seeking medical care     HEALTH CONDITIONS RELATED TO THIS SEARCH Stress Pressure or tension that results from a demanding situation. Stress can be physical, emotional, psychological, or a combination of these. Night terror Night terror, also known as sleep terror, is a sleep disorder causing feelings of panic or dread typically occurring during the first hours of stage 3–4 non-rapid eye movement sleep and lasting for 1 to 10 minutes. They can last longer, especially in children. Sleep terrors are classified in the category of NREM-related parasomnias in the International Classification of Sleep Disorders. There are two other categories: REM-related parasomnias and other parasomnias. Parasomnias are qualified as undesirable physical events or experiences that occur during entry into sleep, within sleep, or during arousal from sleep.<br /> Sleep terrors usually begin in childhood and usually decrease with age. Factors which may lead to sleep terrors are young age, sleep deprivation, medications, stress, fever, and intrinsic sleep disorders. Though the frequency and severity differ between individuals, the episodes can occur in intervals of days or weeks, but can also occur over consecutive nights or multiple times in one night. This has created a situation in which any type of nocturnal attack or nightmare may be confused with and reported as a night terror. Overactive bladder A problem with bladder function that causes the sudden need to urinate. Symptoms may include Bedwetting Urinary urgency Bedwetting Urinary tract infection An infection in any part of the urinary system, the kidneys, bladder, or urethra. Symptoms may include Bedwetting Discomfort when urinating Foul smelling urine "
23,Nightmare Disorder,
24,Attention-Deficit/Hyperactivity Disorder,"Symptoms: Impulsivity Attention-deficit/hyperactivity disorder Also called: ADHD, attention deficit disorder A chronic condition including attention difficulty, hyperactivity, and impulsiveness. ADHD often begins in childhood and can persist into adulthood. It may contribute to low self-esteem, troubled relationships, and difficulty at school or work. Symptoms include limited attention and hyperactivity. Treatments include medication and talk therapy. Very common More than 3 million US cases per year Treatment can help, but this condition can't be cured Chronic: can last for years or be lifelong Requires a medical diagnosis Lab tests or imaging not required For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more RELATED CONDITIONS Bipolar disorder A disorder associated with episodes of mood swings ranging from depressive lows to manic highs. Tourette syndrome A nervous system disorder involving repetitive movements or unwanted sounds. Autism A serious developmental disorder that impairs the ability to communicate and interact. Antisocial personality disorder A mental health disorder characterized by disregard for other people. Anxiety disorder A mental health disorder characterized by feelings of worry, anxiety, or fear that are strong enough to interfere with one's daily activities Obsessive compulsive disorder Excessive thoughts (obsessions) that lead to repetitive behaviors (compulsions). Clinical depression A mental health disorder characterized by persistently depressed mood or loss of interest in activities, causing significant impairment in daily life. Adult attention-deficit/hyperactivity disorder A mental health condition exhibited by difficulty maintaining attention. Oppositional defiant disorder A disorder in a child marked by defiant and disobedient behavior to authority figures. Bipolar II disorder A type of bipolar disorder characterized by depressive and hypomanic episodes. Separation anxiety A disorder in which a child becomes excessively anxious when separated from parents. "
25,Depersonalization/Derealization Disorder,
26,Narcolepsy,"Narcolepsy Also called: excessive uncontrollable daytime sleepiness Source A chronic sleep disorder that causes overwhelming daytime drowsiness. The cause of narcolepsy isn't well understood but may involve genetic factors and abnormal signaling in the brain. Narcolepsy causes sudden attacks of sleep. Sudden loss of muscle tone and hallucinations might occur. Stimulants, antidepressants, and other medications can help. Rare Fewer than 200,000 US cases per year Treatment can help, but this condition can't be cured Chronic: can last for years or be lifelong Requires a medical diagnosis Lab tests or imaging often required For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
27,Tobacco Use Disorder,
28,Opioid Use Disorder,"Opioid addiction and dependence Physical and psychological reliance on opioids, a substance found in certain prescription pain medications and illegal drugs like heroin. Opioids are prescribed to treat pain. With prolonged use, pain-relieving effects may lessen and pain can become worse. In addition, the body can develop dependence. Opioid dependence causes withdrawal symptoms, which makes it difficult to stop taking them. Addiction occurs when dependence interferes with daily life. Taking more than the prescribed amount or using illegal opioids like heroin may result in death. Symptoms of addiction include uncontrollable cravings and inability to control opioid use even though it's having negative effects on personal relationships or finances. Treatment varies but may include discontinuing the drug. Medications such as methadone can help alleviate the symptoms of withdrawal and cravings. Pairing medication with inpatient or support programs generally has the most success. Common More than 200,000 US cases per year Treatable by a medical professional Usually self-diagnosable For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
29,Polarized Thinking,
30,Trichotillomania,"Trichotillomania Also called: TTM A disorder that involves recurrent, irresistible urges to pull out body hair. The urges involve pulling out hair from the scalp, eyebrows, or other areas of the body. Symptoms include compulsive hair pulling and hair loss, such as bald patches on the scalp. Social and work functioning may be affected. Treatment options include counseling and medications, such as antidepressants. Common More than 200,000 US cases per year Treatable by a medical professional Usually self-diagnosable Lab tests or imaging not required For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
31,Anorexia Nervosa,"Anorexia Also called: anorexia nervosa Source An eating disorder causing people to obsess about weight and what they eat. Anorexia is characterized by a distorted body image, with an unwarranted fear of being overweight. Symptoms include trying to maintain a below-normal weight through starvation or too much exercise. Medical treatment may be needed to restore normal weight. Talk therapy can help with self-esteem and behavior changes. Common More than 200,000 US cases per year Treatable by a medical professional Chronic: can last for years or be lifelong Usually self-diagnosable Lab tests or imaging not required For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more RELATED CONDITIONS Bulimia A serious eating disorder marked by binging, followed by methods to avoid weight gain. Obsessive compulsive disorder Excessive thoughts (obsessions) that lead to repetitive behaviors (compulsions). Vasovagal syncope A sudden drop in heart rate and blood pressure leading to fainting, often in reaction to a stressful trigger. Clinical depression A mental health disorder characterized by persistently depressed mood or loss of interest in activities, causing significant impairment in daily life. Borderline personality disorder A mental disorder characterized by unstable moods, behavior, and relationships. Arrhythmia Improper beating of the heart, whether irregular, too fast, or too slow. "
32,Avoidant/Restrictive Food Intake Disorder,
33,Gambling Disorder,
34,Pica,"Pica Craving and chewing substances that have no nutritional value, such as ice, clay, soil, or paper. COMMON CAUSES Pica can have causes that aren't due to underlying disease. Examples include stress, cultural factors, nutritional deficiencies, or pregnancy. For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more See a doctor if you or your child Regularly craves or consumes non-food material HEALTH CONDITIONS RELATED TO THIS SEARCH Iron deficiency A condition of too little iron in the body. Symptoms may include Pica Fast heart rate Shortness of breath Celiac disease An immune reaction to eating gluten, a protein found in wheat, barley, and rye. Symptoms may include Vomiting Heartburn Fatigue Hookworm infection A condition in which a type of roundworm enters the skin, usually from soil, and migrates into the person’s small intestine. Symptoms may include Vomiting Biliary colic Iron deficiency anemia Anemia A condition in which the blood doesn't have enough healthy red blood cells. Symptoms may include Pica Weakness Fast heart rate Iron deficiency anemia Too few healthy red blood cells due to too little iron in the body. Symptoms may include Pica Lethargy Shortness of breath "
35,Dissociative Amnesia,
36,Female Orgasmic Disorder, 
37,Cannabis Intoxication,
38,Fallacy of Fairness,
39,Childhood-Onset Fluency Disorder,"Stuttering A speech disorder involving frequent problems with the normal fluency and flow of speech. COMMON CAUSES Stuttering can have causes that aren't due to underlying disease. Examples include family history of stuttering or nervousness. For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more See a doctor if your stuttering Occurs with other speech or language problems Occurs with muscle tightening or visible struggling to speak Adversely affects school, work, or social relationships Begins as an adult HEALTH CONDITIONS RELATED TO THIS SEARCH Stress Pressure or tension that results from a demanding situation. Stress can be physical, emotional, psychological, or a combination of these. Psychological trauma Mental health problems, such as anxiety or depression, that happen after an extremely difficult life event. Tourette syndrome A nervous system disorder involving repetitive movements or unwanted sounds. Symptoms may include Stuttering Tic Compulsive behavior Stroke Think you're having a Stroke? Call 911 immediately. Damage to the brain from interruption of its blood supply. Symptoms may include Numbness of limbs Balance disorder Difficulty swallowing Cleft lip and cleft palate Openings or splits in the roof of the mouth and lip. Symptoms may include Stuttering Deformity Feeding difficulties "
40,Insomnia Disorder,"Insomnia Source Persistent problems falling and staying asleep. Most cases of insomnia are related to poor sleep habits, depression, anxiety, lack of exercise, chronic illness, or certain medications. Symptoms may include difficulty falling or staying asleep and not feeling well-rested. Treatment for insomnia consists of improving sleep habits, behavior therapy, and identifying and treating underlying causes. Sleeping pills may also be used, but should be monitored for side effects. Very common More than 3 million US cases per year Treatment can help, but this condition can't be cured Usually self-diagnosable Lab tests or imaging rarely required For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
41,Traumatic Brain Injury,"Traumatic brain injury Also called: craniocerebral trauma Brain dysfunction caused by an outside force, usually a violent blow to the head. Traumatic brain injury often occurs as a result of a severe sports injury or car accident. Immediate or delayed symptoms may include confusion, blurry vision, and concentration difficulty. Infants may cry persistently or be irritable. Treatment may involve rest, medication, and surgery. Common More than 200,000 US cases per year Treatable by a medical professional Requires a medical diagnosis Lab tests or imaging often required Critical: needs emergency care For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
42,Stimulant Withdrawal,
43,Female Sexual Interest/Arousal Disorder,
44,Overgeneralization, 
45,Cannabis Use Disorder,
46,Inhalant Intoxication,
47,Social phobia,"Social anxiety disorder Also called: SAD, social phobia A chronic mental health condition in which social interactions cause irrational anxiety. For people with social anxiety disorder, everyday social interactions cause irrational anxiety, fear, self-consciousness, and embarrassment. Symptoms may include excess fear of situations in which one may be judged, worry about embarrassment or humiliation, or concern about offending someone. Talk therapy and antidepressants can help increase confidence and improve ability to interact with others. Common More than 200,000 US cases per year Treatable by a medical professional Requires a medical diagnosis Lab tests or imaging not required Chronic: can last for years or be lifelong For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
48,Opioid Withdrawal,"Opioid withdrawal Physical and mental symptoms that occur after stopping or reducing intake of opioids, a substance found in certain prescription pain medications and illegal drugs like heroin. Opioid withdrawal develops after the body has become accustomed to a certain level of opioids. Opioids are found in certain prescription pain medications or drugs like heroin. Symptoms of opioid withdrawal include anxiety, nausea, vomiting, or abdominal pain. While symptoms can be severe, they aren't life-threatening. Treatment includes supportive care as well as medications to address symptoms and prevent complications. Common More than 200,000 US cases per year Treatable by a medical professional Usually self-diagnosable Lab tests or imaging not required Short-term: resolves within days to weeks For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
49,Alcohol Use Disorder,"Alcohol use disorder Also called: alcoholism, alcohol dependence, alcohol dependence, alcoholism, alcohol addiction A chronic disease characterized by uncontrolled drinking and preoccupation with alcohol. Alcoholism is the inability to control drinking due to both a physical and emotional dependence on alcohol. Symptoms include a strong need or urge to use alcohol. Those with alcohol use disorder may have problems controlling their drinking, continue to use alcohol even when it causes problems, or have withdrawal symptoms when they rapidly decrease or stop drinking. Treatment involves counseling, such as behavioral therapy, and medications that reduce the desire to drink. Some people need medical detoxification to stop drinking safely. Mutual support groups help people stop drinking, manage relapses and cope with necessary lifestyle changes. Very common More than 3 million US cases per year Treatment can help, but this condition can't be cured Usually self-diagnosable Lab tests or imaging not required Chronic: can last for years or be lifelong For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
50,Inhalant Use Disorder,
51,TBI,"Traumatic brain injury Also called: craniocerebral trauma Brain dysfunction caused by an outside force, usually a violent blow to the head. Traumatic brain injury often occurs as a result of a severe sports injury or car accident. Immediate or delayed symptoms may include confusion, blurry vision, and concentration difficulty. Infants may cry persistently or be irritable. Treatment may involve rest, medication, and surgery. Common More than 200,000 US cases per year Treatable by a medical professional Requires a medical diagnosis Lab tests or imaging often required Critical: needs emergency care For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
52,Jumping to Conclusions," Description
Jumping to conclusions is a psychological term referring to a communication obstacle where one ""judge[s] or decide[s] something without having all the facts; to reach unwarranted conclusions"". In other words, ""when I fail to distinguish between what I observed first hand from what I have only inferred or assumed"". Wikipedia "
53,Anxiety,"Anxiety disorder Source A mental health disorder characterized by feelings of worry, anxiety, or fear that are strong enough to interfere with one's daily activities Examples of anxiety disorders include panic attacks, obsessive-compulsive disorder, and post-traumatic stress disorder. Symptoms include stress that's out of proportion to the impact of the event, inability to set aside a worry, and restlessness. Treatment includes counseling or medications, including antidepressants. Very common More than 3 million US cases per year Treatable by a medical professional Usually self-diagnosable Lab tests or imaging not required For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
54,Dissociative Identity Disorder,"Dissociative identity disorder Also called: DID, multiple personality disorder A disorder characterized by the presence of two or more distinct personality states. Dissociative identity disorder, previously called multiple personality disorder, is usually a reaction to trauma as a way to help a person avoid bad memories. Dissociative identity disorder is characterized by the presence of two or more distinct personality identities. Each may have a unique name, personal history, and characteristics. Treatment is talk therapy. Rare Fewer than 200,000 US cases per year Treatment can help, but this condition can't be cured Chronic: can last for years or be lifelong Requires a medical diagnosis Lab tests or imaging not required For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
55,Panic Attack,"Panic attack Sudden episode of intense fear or anxiety and physical symptoms, based on a perceived threat rather than imminent danger. For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more Self-treatment  Seeking medical care       HEALTH CONDITIONS RELATED TO THIS SEARCH Stress Pressure or tension that results from a demanding situation. Stress can be physical, emotional, psychological, or a combination of these. Anxiety disorder A mental health disorder characterised by feelings of worry, anxiety or fear that are strong enough to interfere with one's daily activities. Symptoms may include Panic attack Excessive worry Intrusive thought Post traumatic stress disorder A disorder in which a person has difficulty recovering after experiencing or witnessing a terrifying event. Symptoms may include Panic attack Intrusive thought Lack of pleasure Generalized anxiety disorder Severe, ongoing anxiety that interferes with daily activities. Symptoms may include Panic attack Severe anxiety Excessive worry Agoraphobia Fear of places and situations that might cause panic, helplessness, or embarrassment. Symptoms may include Panic attack Fear Apprehension "
56,Acute Stress Disorder,
57,Cognitive Distortions," Description
A cognitive distortion is an exaggerated or irrational thought pattern involved in the onset and perpetuation of psychopathological states, especially those more influenced by psychosocial factors, such as depression and anxiety. Wikipedia "
58,Vascular Dementia,"Vascular dementia Also called: multi-infarct dementia Brain damage caused by multiple strokes. Vascular dementia causes memory loss in older adults, particularly in those at higher risk of stroke due to obesity or diabetes. In early stages, the condition causes cognitive difficulty with reasoning and judgment. In later stages, memory is affected. Controlling conditions that affect heart health can slow disease progression. Alzheimer's drugs may help control cognitive symptoms. Rare Fewer than 200,000 US cases per year Treatment can help, but this condition can't be cured Requires a medical diagnosis Lab tests or imaging often required Chronic: can last for years or be lifelong For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
59,Automatic Thoughts (CBT),
60,Agoraphobia,"Symptoms: Anxiety in situations perceived to be ... Differential diagnosis: Separation anxiety, post... Complications: Depression, substance use dis... Treatment: Cognitive behavioral therapy Agoraphobia Fear of places and situations that might cause panic, helplessness, or embarrassment. Agoraphobia is an anxiety disorder that often develops after one or more panic attacks. Symptoms include fear and avoidance of places and situations that might cause feelings of panic, entrapment, helplessness, or embarrassment. Treatments include talk therapy and medication. Common More than 200,000 US cases per year Treatment can help, but this condition can't be cured Chronic: can last for years or be lifelong Usually self-diagnosable Lab tests or imaging not required For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
61,Caffeine Withdrawal,
62,Stimulant Intoxication,
63,Schizoid Personality Disorder,"Differential diagnosis: Other mental disorders ... Symptoms: Pervasive emotional detachment, r... Types: Languid schizoid, remote schizoid, dep... Diagnostic method: Based on symptoms Schizoid personality disorder Also called: SPD A condition in which people avoid social activities and interacting with others. Schizoid personality disorder typically begins in early adulthood. People with this condition don't desire or enjoy close relationships, even with family, and are often seen as loners. They may be emotionally cold and detached. Therapy and medications, such as antidepressants or mood stabilizers, can help. Common More than 200,000 US cases per year Treatment can help, but this condition can't be cured Requires a medical diagnosis Lab tests or imaging not required Chronic: can last for years or be lifelong For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
64,Heaven’s Reward Fallacy (CBT), 
65,Selective Mutism,
66,Caffeine Intoxication, 
67,Exhibitionistic Disorder, 
68,Central Sleep Apnea,
69,Schizophrenia,"Schizophrenia A disorder that affects a person's ability to think, feel, and behave clearly. The exact cause of schizophrenia isn't known, but a combination of genetics, environment, and altered brain chemistry and structure may play a role. Schizophrenia is characterized by thoughts or experiences that seem out of touch with reality, disorganized speech or behavior, and decreased participation in daily activities. Difficulty with concentration and memory may also be present. Treatment is usually lifelong and often involves a combination of medications, psychotherapy, and coordinated specialty care services. Common More than 200,000 US cases per year Treatment can help, but this condition can't be cured Chronic: can last for years or be lifelong Requires a medical diagnosis For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more RELATED CONDITIONS Psychosis A mental disorder characterized by a disconnection from reality. Schizoaffective disorder A mental health condition including schizophrenia and mood disorder symptoms. Bipolar disorder A disorder associated with episodes of mood swings ranging from depressive lows to manic highs. Obsessive compulsive disorder Excessive thoughts (obsessions) that lead to repetitive behaviors (compulsions). Clinical depression A mental health disorder characterized by persistently depressed mood or loss of interest in activities, causing significant impairment in daily life. Post traumatic stress disorder A disorder in which a person has difficulty recovering after experiencing or witnessing a terrifying event. Antisocial personality disorder A mental health disorder characterized by disregard for other people. Anxiety disorder A mental health disorder characterized by feelings of worry, anxiety, or fear that are strong enough to interfere with one's daily activities Autism A serious developmental disorder that impairs the ability to communicate and interact. Bipolar II disorder A type of bipolar disorder characterized by depressive and hypomanic episodes. "
70,Frotteuristic Disorder,
71,Gender Dysphoria,
72,Skin-Picking,
73,Functional Neurological Symptom Disorder,
74,Sleep-Related Hypoventilation,
75,Frontotemporal Dementia,
76,Narcissistic Personality Disorder,"Narcissistic personality disorder Also called: NPD A disorder in which a person has an inflated sense of self-importance. Narcissistic personality disorder is found more commonly in men. The cause is unknown but likely involves a combination of genetic and environmental factors. Symptoms include an excessive need for admiration, disregard for others' feelings, an inability to handle any criticism, and a sense of entitlement. The disorder needs to be diagnosed by a professional. Treatment involves talk therapy. Rare Fewer than 200,000 US cases per year Treatment can help, but this condition can't be cured Requires a medical diagnosis Lab tests or imaging not required Chronic: can last for years or be lifelong For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
77,Schizophreniform Disorder,
78,Obsessive-Compulsive Personality Disorder,
79,Erectile Disorder," Symptoms: Sexual dysfunction Erectile dysfunction Also called: ED, impotence Occurs when a man can't get or keep an erection firm enough for sexual intercourse. Erectile dysfunction can be a sign of a physical or psychological condition. It can cause stress, relationship strain, and low self-confidence. The main symptom is a man's inability to get or keep an erection firm enough for sexual intercourse. Patients suffering from erectile dysfunction should first be evaluated for any underlying physical and psychological conditions. If treatment of the underlying conditions doesn't help, medications and assistive devices, such as pumps, can be prescribed. Very common More than 3 million US cases per year Treatable by a medical professional Usually self-diagnosable Lab tests or imaging rarely required Chronic: can last for years or be lifelong For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
80,Oppositional Defiant Disorder,"Oppositional defiant disorder Also called: ODD A disorder in a child marked by defiant and disobedient behavior to authority figures. The cause of oppositional defiant disorder is unknown but likely involves a combination of genetic and environmental factors. Symptoms generally begin before a child is eight years old. They include irritable mood, argumentative and defiant behavior, aggression, and vindictiveness that last more than six months and cause significant problems at home or school. Treatment involves individual and family therapy. Common More than 200,000 US cases per year Treatment can help, but this condition can't be cured Chronic: can last for years or be lifelong Requires a medical diagnosis Lab tests or imaging not required For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
81,Antisocial Personality Disorder,"Antisocial personality disorder Also called: ASPD A mental health disorder characterized by disregard for other people. Those with antisocial personality disorder (ASPD) may begin to show symptoms in childhood, but the condition can't be diagnosed until adolescence or adulthood. Those with antisocial personality disorder tend to lie, break laws, act impulsively, and lack regard for their own safety or the safety of others. Symptoms may lessen with age. Treatment may include talk therapy and support for affected family members. Common More than 200,000 US cases per year Treatment can help, but this condition can't be cured Requires a medical diagnosis Lab tests or imaging not required Chronic: can last for years or be lifelong For informational purposes only. Consult your local medical authority for advice.
Sources: Mayo Clinic and others. Learn more "
82,Vocal Tic Disorder,
83,Autism Spectrum Disorder,
84,Somatic Symptom Disorder,
